dataFrom,Date,review_x,Rating,Extracted_Dev_Response,Dev_Response_Time,Clean_Review,Topic_Number,Topic_Name,Issue,Positive_Score,Negative_Score,Neutral_Score,Compound_Score,NPS_Score_Indiv,NPS_Category
appStore,2023-12-06 09:00:01+00:00,Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :),5,"Hi ChefDugi, we are very heartened to see our services have been beneficial and positive for you. We hope our features in the future will continue to serve and delight you constantly.",2023-12-07 17:47:50+00:00,"['everything', 'perfect', 'ease', 'fast', 'transfer', 'quick', 'cash', 'repayment', 'interest', 'life', 'saver']",1,Money Growth (Interest Rates),Low interest rate,0.417,0.058,0.525,0.9186,10.0,Promoter
appStore,2023-09-25 01:04:27+00:00,Easy drawing and repayment option. Flexible of choice at any time with any needs. Like it and good tool for emergency money with flexible borrowing and repayment.,5,Hi derrick. Thank you for the 5 star review! ⭐ This helps to motivate all of us at GXS to scale even greater heights. We're delighted to learn that you love the app as much as we do. Happy banking with GXS! 😉🚀,2023-09-26 09:27:11+00:00,"['repayment', 'option', 'choice', 'time', 'need', 'tool', 'emergency', 'money', 'borrowing', 'repayment']",0,App Responsiveness,Difficulties in account registration,0.339,0.073,0.588,0.8176,9.0,Promoter
appStore,2023-11-15 02:39:34+00:00,"Ease of use.
Pay anytime before due is possible. 
Emergency moolahs are here without breaking your bank!",5,Hey there! We're thrilled to hear that our app has hit all the right notes. We love the flexible repayments and interest savings too. 🤩 Thank you so much for your support and 5-star review! 🎉,2023-11-16 07:23:53+00:00,,,,,,,,,,
appStore,2022-12-07 12:19:51+00:00,J got recommended to try out this app by a fren and i love it! It’s convenient and easy to use and i can see myself committing to this in the long term! :),5,"Happy to hear that you have been enjoying the GXS experience, Koko! Have an awesome day! 💜 ",2022-12-09 07:02:54+00:00,"['love', 'convenient', 'term']",9,Customer trust,Difficulty processing application,0.322,0.0,0.678,0.915,10.0,Promoter
appStore,2022-12-07 06:31:42+00:00,the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential 👍🏼,5,"We are glad you have been enjoying the GXS experience on our app so far. Keep using the app, and let us know if you have other suggestions or feedback. Have a great week ahead!",2022-12-09 07:07:01+00:00,"['navigate', 'excellent', 'love', 'pocket', 'interest', 'rate', 'worth', 'wait']",6,Login & Account Setup,Difficulty logging in,0.427,0.0,0.573,0.9665,10.0,Promoter
appStore,2022-12-09 03:47:29+00:00,My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!,5,"Hi tloh001, we are happy that you like our awesome app interface and Saving Pockets feature! 🤩We strive to give our customers the best app experience and attractive interest rates.🚀Thank you very much for your 5 stars review! Your support and voice are very important to us. Keep using our app. 💜 ",2022-12-10 08:01:46+00:00,"['feature', 'pocket', 'wait', 'build', 'interest', 'rate', 'user', 'interface']","1,9",Money Growth (Interest Rates) & Customer trust,,0.433,0.0,0.567,0.9184,10.0,Promoter
appStore,2022-09-06 17:57:25+00:00,Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?,2,Hi there! We're inviting customers progressively to make sure that everything is well built for the best experience possible. Thanks for your patience! 🙏 ,2022-09-08 01:14:40+00:00,"['doesnt', 'seem', 'sign', 'stay', 'tune', 'phone', 'number', 'cant', 'screen', 'store']",5,Credit card usage,Inability to save money,0.112,0.0,0.888,0.5499,8.0,Passive
appStore,2023-11-21 07:13:17+00:00,Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.,5,,,"['navigate', 'super', 'fluid', 'bank', 'everyone', 'join', 'ease', 'mind']",8,Safety,Seamless integration not available on iPad,0.572,0.0,0.428,0.9468,10.0,Promoter
appStore,2022-10-04 13:02:31+00:00,No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.,5,Hi there! We aim to create a better banking experience for everyone. A win for us is when banking is a win for you. We can't wait to get everyone onboard our revolution! 🚀,2022-10-06 01:55:09+00:00,"['wait', 'ton', 'paperwork', 'bank', 'account', 'generate', 'value', 'proposition', 'consumer']",5,Credit card usage,Inability to save money,0.166,0.073,0.762,0.4215,7.0,Passive
appStore,2024-02-10 03:22:39+00:00,This app is easy to use.,5,"Aw, thanks for the kind words! We’re glad that our app is user-friendly. 💜 If you need any help or have any feedback, feel free to reach out to us. We’ll be more than happy to hear from you!",2024-02-12 04:08:12+00:00,,,,,,,,,,
appStore,2024-02-17 11:21:01+00:00,User friendly,5,We're thrilled to hear that our app has hit all the right notes. 💜 Thank you for the 5-star review! ,2024-02-19 01:51:26+00:00,,,,,,,,,,
appStore,2023-12-06 08:45:43+00:00,Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.,5,"Thank you for taking the time to leave us this wonderful review, GW1188! We're delighted to hear that it is easy for you to use our GXS account on your Grab App! 😄",2023-12-07 17:50:35+00:00,"['apps', 'link', 'grab', 'apps', 'transfer', 'money', 'topup', 'grab', 'account']",2,Customer Services,Inability to save payments,0.213,0.0,0.787,0.6597,9.0,Promoter
appStore,2023-11-18 08:52:03+00:00,Best digital bank in my opinion I prefer this over its competitors:),5,,,"['digital', 'bank', 'opinion', 'prefer', 'competitor']",7,Competition,Difficulty logging in,0.276,0.0,0.724,0.6369,9.0,Promoter
appStore,2023-06-05 11:16:31+00:00,"Well if u like to see growth everyday, this app gives u that. Set goals and see it grow towards it!",5,"Hey Tyc!👋 Thank you so much for your review! We're thrilled to hear that our app helps you witness growth every day. Setting goals and watching them progress is an incredible feeling, and we're glad our app supports you in achieving that. Here's to continued growth and success! 🌱🚀",2023-06-07 00:59:50+00:00,"['growth', 'everyday', 'goal', 'grow']",4,User Interface,Poor login functionality,0.294,0.0,0.706,0.7574,9.0,Promoter
appStore,2023-06-06 02:44:38+00:00,Very convenient and easy to understand and use,5,"Thank you! We're delighted that you find our app highly convenient, easy to understand, and user-friendly. We appreciate your support and hope you continue to enjoy the seamless experience. 🙏 ",2023-06-07 08:31:05+00:00,"['convenient', 'understand']",9,Customer trust,Difficulty processing application,0.311,0.0,0.689,0.4877,8.0,Passive
appStore,2022-09-16 07:19:33+00:00,"Why put an app on the store when you are not ready. All about the app now is collecting info. If you have heard yet, please use testflight for ur ‘launch’ aka beta testing 🤦🏻

Update: doesn’t bode well… even response is so robotic n mundane. Might as well not respond and spend the time to build the app for a proper launch",1,"Hi there! We're inviting customers progressively to make sure that everything is well built for the best experience possible. In the meantime, you can register your interest to open an account upon download. We'll let you know when we’re ready for you! 🙏",2022-09-16 01:26:55+00:00,,,,,,,,,,
appStore,2023-07-25 14:17:22+00:00,"Noticed the news writing they offer 3.48% interest rate. After downloading the apps and trying to sign up, end up asked me to fill up my particular to  receive latest buzz updates.! 

If the bank isn’t planing to offer, please stop advertising that. Thanks!",1,"Hey, Sheerliyn! We’re sorry to make you feel that way. Rest assured that our 3.48% interest rate still applies to our Saving Pockets. However, as our slots for our Savings Account are currently full, do sign up on the GXS app for early access. 🙏",2023-07-27 02:55:34+00:00,,,,,,,,,,
appStore,2023-01-20 04:35:32+00:00,Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.,2,"Hi Desiphone, we have since resolved the App issue. We would like to assure you that the App is now working fine and we apologize for the inconvenience caused. Rest assured that there will not be any impact to your account. In the meantime, we may need you to log in again through your SingPass to access the App. A gentle reminder to update your App to the latest version too. Once again, we thank you for your understanding and support.🙏😊",2023-01-21 07:57:54+00:00,"['problem', 'phone', 'someway', 'morning', 'phone', 'problem', 'please', 'advice']",4,User Interface,Poor login functionality,0.055,0.114,0.831,-0.3408,3.0,Detractor
appStore,2023-08-11 11:02:39+00:00,It’s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes,3,"Hey Ahfei94! Thank you for giving our app your recognition! From 17 August 2023, we're increasing the interest rate for the Main Account from 0.08% to 2.38% p.a. and the Saving Pockets interest rate will be adjusted to 2.68% p.a. Thank you for banking with GXS! 😊",2023-08-13 01:16:18+00:00,"['interest', 'rate', 'notice', 'change']",1,Money Growth (Interest Rates),Low interest rate,0.279,0.0,0.721,0.7345,9.0,Promoter
appStore,2022-09-12 05:46:10+00:00,"Love the interface and saving pocket is so unique, can’t wait to meet my deposit goal!",5,"Hey there, so happy to know that you like our app! We'll keep working hard to make the app even easier to use! Good luck in achieving your Saving Pockets goal too, we're all rooting for you! 🤩🚀",2022-09-13 15:04:50+00:00,"['love', 'interface', 'pocket', 'unique', 'wait', 'meet', 'deposit', 'goal']",9,Customer trust,Difficulty processing application,0.23,0.0,0.77,0.6696,9.0,Promoter
appStore,2024-02-25 07:24:03+00:00,The app is easy to navigate and optimise for people of all ages.,5,"Hi there! Thank you for your 5 stars review.💜 We're delighted to learn that you find our app's user interface easy and intuitive to use! We strives to exceed your expectations, and we're pleased to have met your needs.🤩",2024-02-26 18:04:42+00:00,"['navigate', 'optimise', 'age']",0,App Responsiveness,Difficulties in account registration,0.345,0.0,0.655,0.7003,9.0,Promoter
appStore,2023-11-15 06:52:28+00:00,"Brilliant app design, fast transactions, excellent rates. Keep up the good work! What more can I say?",5,We're over the moon to receive your 5-star review! 😍 Thank you for your continued support and we look forward to providing more exciting products and features to you soon! 🚀,2023-11-17 03:10:14+00:00,"['brilliant', 'design', 'fast', 'transaction', 'excellent', 'rate', 'work']",5,Credit card usage,Inability to save money,0.433,0.0,0.567,0.8932,10.0,Promoter
appStore,2023-06-11 00:50:35+00:00,Try it and you will love it.,5,"Woohoo, we’re glad to hear that you love our app! Thanks for sharing the love, SgPlayboy! 😉💜",2023-06-13 01:22:46+00:00,,,,,,,,,,
appStore,2023-06-05 10:16:52+00:00,"The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!",5,Hey there! We're glad to hear that you're enjoying saving pockets feature! 🤩 Thanks for taking the time to leave a feedback - we strive to serve you better! 🙏 💜,2023-05-13 08:14:26+00:00,"['super', 'love', 'pocket', 'money', 'goal']",6,Login & Account Setup,Difficulty logging in,0.451,0.0,0.549,0.9392,10.0,Promoter
appStore,2023-12-06 08:35:07+00:00,"There are a number of things that are great about GXS. 
1. Ease of use
2. daily interest 
3. No hassle with minimum sum",5,"Hi mdyyeo, we are very grateful and glad that you are enjoying our features. We look forward to delighting you more with our new features in the future.",2023-12-07 17:41:44+00:00,,,,,,,,,,
appStore,2023-08-13 12:05:53+00:00,"It doesn’t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait, which it is. They should acquire deposits through more honest and transparent methods.",1,"Hi Azubu! Thanks for sharing your thoughts with us! We're always striving to improve, and your feedback means a lot! We recognise that our customers use their GXS Savings Account for Grab and Singtel Dash transactions to earn 1.2x reward points from eligible transactions. As these funds are debited through the Main Account of the GXS Savings Account, we have received feedback that our customers would like to earn higher interest while still enjoying the benefits of our ecosystem rewards programme. So from 17th August 2023, we're increasing the interest rates for our GXS Main Account from 0.08% to 2.38% p.a., and the Saving Pockets will be adjusted to 2.68% p.a.",2023-08-15 01:44:00+00:00,"['company', 'look', 'offer', 'interest', 'rate', 'drop', 'user', 'feel', 'bait', 'deposit', 'honest', 'transparent', 'method']",4,User Interface,Poor login functionality,0.238,0.042,0.72,0.8687,10.0,Promoter
appStore,2023-06-05 11:34:48+00:00,Easy to use and log in! Very clean instruction.,5,"Thanks so much for your wonderful review, Dtthian! 🙏💜 We're thrilled to hear that our app is easy to use and provides a seamless login experience. We've put a lot of effort into making the instructions clear and user-friendly, so it's fantastic to know that you find them clean and easy to follow.",2023-06-07 01:07:04+00:00,"['clean', 'instruction']",7,Competition,Difficulty logging in,0.469,0.0,0.531,0.7339,9.0,Promoter
appStore,2023-06-05 10:23:48+00:00,"Simple, straightforward to use with no bugs. Great experience",5,"\r\nWow, thanks so much for the fantastic 5-star review!✨ It's amazing to know that you had a great time using our app. If you ever need any assistance or have more feedback to share, feel free to reach out. Keep enjoying the greatness and simplicity of our app!  😊",2023-06-07 00:48:26+00:00,"['simple', 'straightforward', 'bug', 'experience']",0,App Responsiveness,Difficulties in account registration,0.0,0.44,0.56,-0.6698,1.0,Detractor
appStore,2022-10-03 06:17:01+00:00,"Really like the details in the app, will definitely use it daily!",5,Hey there! We're glad to know you love our app! Your support and voice are very important to us. Keep using our app.💜 ,2022-10-05 02:00:26+00:00,,,,,,,,,,
appStore,2023-05-30 13:19:00+00:00,"Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted.",5,"Thanks so much for your fantastic 5-star review! We're thrilled to hear that you're loving the Saving Pockets feature as well. We share your excitement for the day when we can assist you in saving even more with us. Rest assured, as soon as the cap is lifted, we'll make sure to keep you informed. 💜🚀 ",2023-06-01 01:20:24+00:00,"['design', 'pocket', 'limit']",9,Customer trust,Difficulty processing application,0.128,0.0,0.872,0.3612,7.0,Passive
appStore,2023-07-19 06:05:49+00:00,"Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying “It’s not you, it’s us”. 

Ummmm okayyyy",1,"Hi there, thank you for staying with us thus far! 🙏 One common reason could be because you're not physically located in Singapore at the time of application. Likewise, you’ll need to disable your VPN before submitting your application. Any other questions, feel free to to contact our hotline at (+65) 3105 2055. We are here for you, 24/7! 💜",2023-07-20 17:29:19+00:00,,,,,,,,,,
appStore,2022-12-10 13:18:37+00:00,Easy to use and nice UIUX. Saving pockets is an interesting and useful feature,5,Happy to hear that you have been enjoying the GXS experience so far! Have an awesome week ahead! 🙏,2022-12-12 01:42:12+00:00,"['uiux', 'pocket', 'feature']",6,Login & Account Setup,Difficulty logging in,0.531,0.0,0.469,0.8834,10.0,Promoter
appStore,2023-11-10 11:37:30+00:00,Simple and easy,5,"Yay! Glad to hear that you’re enjoying our app, Kok Ong! Feel free to get in touch with us if you need any help or have any feedback. 😉",2023-11-11 17:26:46+00:00,,,,,,,,,,
appStore,2023-12-23 08:46:14+00:00,"Is GXS looking into this issue? Going to be a week, still something is wrong. What happened to iOS user testing before roll out? It’s baffling the slow service recovery GXS is impressing upon iOS users.",1,"Hi @azejnn Merry Christmas to you. Thank you for your feedback and we are sorry to hear that you were not able to launch the survey. We are unable to share account details over a public platform, please contact us at our hotline so we can attend to you accordingly.",2023-12-25 18:05:40+00:00,"['issue', 'week', 'something', 'user', 'roll', 'baffling', 'service', 'recovery', 'user']",0,App Responsiveness,Difficulties in account registration,0.094,0.076,0.83,0.1926,6.0,Detractor
appStore,2022-12-07 06:14:34+00:00,Intuitive and easy to set up,5,Thank you very much for the five stars review! It means a lot to us. Have a great week ahead!,2022-12-09 07:07:47+00:00,,,,,,,,,,
appStore,2023-12-11 17:42:41+00:00,Friendly use apps,5,"Hi Ryan! Thank you for your 5 stars review. 💜We are thrilled to know that you like the app easy and user-friendly user interface! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.🙏🤩\r\n",2023-12-13 01:44:58+00:00,,,,,,,,,,
