dataFrom,date,review,rating,extracted_devresp,devresp_time,Positive Score,Negative Score,Neutral Score,Compound Score,nps_indiv,nps_category,clean_review,Topic_Number,Topic_Name,date_only,Topic,Unnamed: 1,key
appStore,2023-09-12 05:10:29,Already 1 year but basic functions like adding payee is not in the app. It’s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app,1,"Hi there, thank you for your valuable feedback. 🙏 We appreciate you taking the time to share your thoughts with us and have captured this as part of our continuous improvement process. 💜\r",NaT,0.235,0.106,0.659,0.8751,10,Promoter,"['year', 'function', 'payee', 'troublesome', 'transfer', 'fund', 'bank', 'account', 'move', 'interest', 'feel', 'maribank', 'interest', 'rate', 'function', 'include']",1,Money Growth (Interest Rates),2023-09-12,,,
appStore,2024-02-24 06:12:02,"Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time, it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience, deserves only 1 star.",1,"Hey there! We're sorry to hear about your experience. 🙏 We understand the importance of this matter and are committed to make things right for you. Could you please get in touch with us via Live Chat or call, at (+65) 3105 2055, so that we can assist you further? We’d be happy to make things right for you! 💜",NaT,0.047,0.289,0.664,-0.9156,0,Detractor,"['consistent', 'device', 'time', 'money', 'transfer', 'explanation', 'device', 'lack', 'clarity', 'abrupt', 'disruption', 'service', 'user', 'experience', 'star']",4,User Interface,2024-02-24,User Interface,30.0,Others
appStore,2023-12-07 07:21:02,"Wish more people can download and use, and more rewards can be given.",5,Hi Adrian! We're thrilled that you're enjoying our app features. It's heartening to know our services have been beneficial and positive for you. We're hopeful that our future reward features will continue to satisfy and excite you! 🚀💜,NaT,0.356,0.0,0.644,0.7264,9,Promoter,"['wish', 'download', 'reward']",1,Money Growth (Interest Rates),2023-12-07,Money Growth (Interest Rates),40.0,Others
appStore,2023-11-11 07:18:42,Can try for saving money !! My money said they liked there,5,"Hey there! We are happy that you like our app! You have made our day, and we are definitely striving to improve our products to serve you better! 🚀💜",NaT,0.235,0.0,0.765,0.5242,8,Passive,"['money', 'money']",5,Credit card usage,2023-11-11,Credit card usage,0.0,Inability to save money
appStore,2023-12-06 09:00:01,Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :),5,"Hi ChefDugi, we are very heartened to see our services have been beneficial and positive for you. We hope our features in the future will continue to serve and delight you constantly.",NaT,0.417,0.058,0.525,0.9186,10,Promoter,"['everything', 'perfect', 'ease', 'fast', 'transfer', 'quick', 'cash', 'repayment', 'interest', 'life', 'saver']",1,Money Growth (Interest Rates),2023-12-06,Money Growth (Interest Rates),42.0,Others
appStore,2023-09-25 01:04:27,Easy drawing and repayment option. Flexible of choice at any time with any needs. Like it and good tool for emergency money with flexible borrowing and repayment.,5,Hi derrick. Thank you for the 5 star review! ⭐ This helps to motivate all of us at GXS to scale even greater heights. We're delighted to learn that you love the app as much as we do. Happy banking with GXS! 😉🚀,NaT,0.339,0.073,0.588,0.8176,9,Promoter,"['repayment', 'option', 'choice', 'time', 'need', 'tool', 'emergency', 'money', 'borrowing', 'repayment']",0,App Responsiveness,2023-09-25,App Responsiveness,30.0,Others
appStore,2022-12-07 12:19:51,J got recommended to try out this app by a fren and i love it! It’s convenient and easy to use and i can see myself committing to this in the long term! :),5,"Happy to hear that you have been enjoying the GXS experience, Koko! Have an awesome day! 💜 ",NaT,0.322,0.0,0.678,0.915,10,Promoter,"['love', 'convenient', 'term']",9,Customer trust,2022-12-07,,,
appStore,2022-12-07 06:31:42,the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential 👍🏼,5,"We are glad you have been enjoying the GXS experience on our app so far. Keep using the app, and let us know if you have other suggestions or feedback. Have a great week ahead!",NaT,0.427,0.0,0.573,0.9665,10,Promoter,"['navigate', 'excellent', 'love', 'pocket', 'interest', 'rate', 'worth', 'wait']",6,Login & Account Setup,2022-12-07,,,
appStore,2022-12-09 03:47:29,My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!,5,"Hi tloh001, we are happy that you like our awesome app interface and Saving Pockets feature! 🤩We strive to give our customers the best app experience and attractive interest rates.🚀Thank you very much for your 5 stars review! Your support and voice are very important to us. Keep using our app. 💜 ",NaT,0.433,0.0,0.567,0.9184,10,Promoter,"['feature', 'pocket', 'wait', 'build', 'interest', 'rate', 'user', 'interface']",1,Money Growth (Interest Rates),2022-12-09,,,
appStore,2022-12-09 03:47:29,My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!,5,"Hi tloh001, we are happy that you like our awesome app interface and Saving Pockets feature! 🤩We strive to give our customers the best app experience and attractive interest rates.🚀Thank you very much for your 5 stars review! Your support and voice are very important to us. Keep using our app. 💜 ",NaT,0.433,0.0,0.567,0.9184,10,Promoter,"['feature', 'pocket', 'wait', 'build', 'interest', 'rate', 'user', 'interface']",9,Customer trust,2022-12-09,,,
appStore,2022-09-06 17:57:25,Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?,2,Hi there! We're inviting customers progressively to make sure that everything is well built for the best experience possible. Thanks for your patience! 🙏 ,NaT,0.112,0.0,0.888,0.5499,8,Passive,"['doesnt', 'seem', 'sign', 'stay', 'tune', 'phone', 'number', 'cant', 'screen', 'store']",5,Credit card usage,2022-09-06,Credit card usage,1.0,App downloaded but not working
appStore,2023-11-21 07:13:17,Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.,5,,NaT,0.572,0.0,0.428,0.9468,10,Promoter,"['navigate', 'super', 'fluid', 'bank', 'everyone', 'join', 'ease', 'mind']",8,Safety,2023-11-21,Safety,16.0,Issues with user interface
appStore,2022-10-04 13:02:31,No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.,5,Hi there! We aim to create a better banking experience for everyone. A win for us is when banking is a win for you. We can't wait to get everyone onboard our revolution! 🚀,NaT,0.166,0.073,0.762,0.4215,7,Passive,"['wait', 'ton', 'paperwork', 'bank', 'account', 'generate', 'value', 'proposition', 'consumer']",5,Credit card usage,2022-10-04,Credit card usage,2.0,Fast transactions and good app design
appStore,2023-12-06 08:45:43,Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.,5,"Thank you for taking the time to leave us this wonderful review, GW1188! We're delighted to hear that it is easy for you to use our GXS account on your Grab App! 😄",NaT,0.213,0.0,0.787,0.6597,9,Promoter,"['apps', 'link', 'grab', 'apps', 'transfer', 'money', 'topup', 'grab', 'account']",2,Customer Services,2023-12-06,Customer Services,1.0,Issues with GXS apps linked to Grab app
appStore,2023-11-18 08:52:03,Best digital bank in my opinion I prefer this over its competitors:),5,,NaT,0.276,0.0,0.724,0.6369,9,Promoter,"['digital', 'bank', 'opinion', 'prefer', 'competitor']",7,Competition,2023-11-18,Competition,0.0,Difficulty logging in
appStore,2023-06-05 11:16:31,"Well if u like to see growth everyday, this app gives u that. Set goals and see it grow towards it!",5,"Hey Tyc!👋 Thank you so much for your review! We're thrilled to hear that our app helps you witness growth every day. Setting goals and watching them progress is an incredible feeling, and we're glad our app supports you in achieving that. Here's to continued growth and success! 🌱🚀",NaT,0.294,0.0,0.706,0.7574,9,Promoter,"['growth', 'everyday', 'goal', 'grow']",4,User Interface,2023-06-05,User Interface,20.0,Others
appStore,2023-06-06 02:44:38,Very convenient and easy to understand and use,5,"Thank you! We're delighted that you find our app highly convenient, easy to understand, and user-friendly. We appreciate your support and hope you continue to enjoy the seamless experience. 🙏 ",NaT,0.311,0.0,0.689,0.4877,8,Passive,"['convenient', 'understand']",9,Customer trust,2023-06-06,Customer trust,23.0,Others
appStore,2023-01-20 04:35:32,Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.,2,"Hi Desiphone, we have since resolved the App issue. We would like to assure you that the App is now working fine and we apologize for the inconvenience caused. Rest assured that there will not be any impact to your account. In the meantime, we may need you to log in again through your SingPass to access the App. A gentle reminder to update your App to the latest version too. Once again, we thank you for your understanding and support.🙏😊",NaT,0.055,0.114,0.831,-0.3408,3,Detractor,"['problem', 'phone', 'someway', 'morning', 'phone', 'problem', 'please', 'advice']",4,User Interface,2023-01-20,User Interface,0.0,Poor login functionality
appStore,2023-08-11 11:02:39,It’s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes,3,"Hey Ahfei94! Thank you for giving our app your recognition! From 17 August 2023, we're increasing the interest rate for the Main Account from 0.08% to 2.38% p.a. and the Saving Pockets interest rate will be adjusted to 2.68% p.a. Thank you for banking with GXS! 😊",NaT,0.279,0.0,0.721,0.7345,9,Promoter,"['interest', 'rate', 'notice', 'change']",1,Money Growth (Interest Rates),2023-08-11,,,
appStore,2022-09-12 05:46:10,"Love the interface and saving pocket is so unique, can’t wait to meet my deposit goal!",5,"Hey there, so happy to know that you like our app! We'll keep working hard to make the app even easier to use! Good luck in achieving your Saving Pockets goal too, we're all rooting for you! 🤩🚀",NaT,0.23,0.0,0.77,0.6696,9,Promoter,"['love', 'interface', 'pocket', 'unique', 'wait', 'meet', 'deposit', 'goal']",9,Customer trust,2022-09-12,,,
appStore,2024-02-25 07:24:03,The app is easy to navigate and optimise for people of all ages.,5,"Hi there! Thank you for your 5 stars review.💜 We're delighted to learn that you find our app's user interface easy and intuitive to use! We strives to exceed your expectations, and we're pleased to have met your needs.🤩",NaT,0.345,0.0,0.655,0.7003,9,Promoter,"['navigate', 'optimise', 'age']",0,App Responsiveness,2024-02-25,App Responsiveness,17.0,Difficulties in navigating the app
appStore,2023-11-15 06:52:28,"Brilliant app design, fast transactions, excellent rates. Keep up the good work! What more can I say?",5,We're over the moon to receive your 5-star review! 😍 Thank you for your continued support and we look forward to providing more exciting products and features to you soon! 🚀,NaT,0.433,0.0,0.567,0.8932,10,Promoter,"['brilliant', 'design', 'fast', 'transaction', 'excellent', 'rate', 'work']",5,Credit card usage,2023-11-15,Credit card usage,3.0,Fast transactions and good app design
appStore,2023-06-05 10:16:52,"The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!",5,Hey there! We're glad to hear that you're enjoying saving pockets feature! 🤩 Thanks for taking the time to leave a feedback - we strive to serve you better! 🙏 💜,NaT,0.451,0.0,0.549,0.9392,10,Promoter,"['super', 'love', 'pocket', 'money', 'goal']",6,Login & Account Setup,2023-06-05,Login & Account Setup,24.0,Others
appStore,2023-08-13 12:05:53,"It doesn’t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait, which it is. They should acquire deposits through more honest and transparent methods.",1,"Hi Azubu! Thanks for sharing your thoughts with us! We're always striving to improve, and your feedback means a lot! We recognise that our customers use their GXS Savings Account for Grab and Singtel Dash transactions to earn 1.2x reward points from eligible transactions. As these funds are debited through the Main Account of the GXS Savings Account, we have received feedback that our customers would like to earn higher interest while still enjoying the benefits of our ecosystem rewards programme. So from 17th August 2023, we're increasing the interest rates for our GXS Main Account from 0.08% to 2.38% p.a., and the Saving Pockets will be adjusted to 2.68% p.a.",NaT,0.238,0.042,0.72,0.8687,10,Promoter,"['company', 'look', 'offer', 'interest', 'rate', 'drop', 'user', 'feel', 'bait', 'deposit', 'honest', 'transparent', 'method']",4,User Interface,2023-08-13,,,
appStore,2023-06-05 11:34:48,Easy to use and log in! Very clean instruction.,5,"Thanks so much for your wonderful review, Dtthian! 🙏💜 We're thrilled to hear that our app is easy to use and provides a seamless login experience. We've put a lot of effort into making the instructions clear and user-friendly, so it's fantastic to know that you find them clean and easy to follow.",NaT,0.469,0.0,0.531,0.7339,9,Promoter,"['clean', 'instruction']",7,Competition,2023-06-05,Competition,1.0,Difficulty logging in
appStore,2023-06-05 11:34:48,Easy to use and log in! Very clean instruction.,5,"Thanks so much for your wonderful review, Dtthian! 🙏💜 We're thrilled to hear that our app is easy to use and provides a seamless login experience. We've put a lot of effort into making the instructions clear and user-friendly, so it's fantastic to know that you find them clean and easy to follow.",NaT,0.469,0.0,0.531,0.7339,9,Promoter,"['clean', 'instruction']",7,Competition,2023-06-05,Competition,25.0,Unclear instructions
appStore,2023-06-05 10:23:48,"Simple, straightforward to use with no bugs. Great experience",5,"\r\nWow, thanks so much for the fantastic 5-star review!✨ It's amazing to know that you had a great time using our app. If you ever need any assistance or have more feedback to share, feel free to reach out. Keep enjoying the greatness and simplicity of our app!  😊",NaT,0.0,0.44,0.56,-0.6698,1,Detractor,"['simple', 'straightforward', 'bug', 'experience']",0,App Responsiveness,2023-06-05,App Responsiveness,18.0,Bugs and glitches in the app
appStore,2023-05-30 13:19:00,"Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted.",5,"Thanks so much for your fantastic 5-star review! We're thrilled to hear that you're loving the Saving Pockets feature as well. We share your excitement for the day when we can assist you in saving even more with us. Rest assured, as soon as the cap is lifted, we'll make sure to keep you informed. 💜🚀 ",NaT,0.128,0.0,0.872,0.3612,7,Passive,"['design', 'pocket', 'limit']",9,Customer trust,2023-05-30,Customer trust,31.0,Others
appStore,2022-12-10 13:18:37,Easy to use and nice UIUX. Saving pockets is an interesting and useful feature,5,Happy to hear that you have been enjoying the GXS experience so far! Have an awesome week ahead! 🙏,NaT,0.531,0.0,0.469,0.8834,10,Promoter,"['uiux', 'pocket', 'feature']",6,Login & Account Setup,2022-12-10,Login & Account Setup,26.0,Others
appStore,2023-12-23 08:46:14,"Is GXS looking into this issue? Going to be a week, still something is wrong. What happened to iOS user testing before roll out? It’s baffling the slow service recovery GXS is impressing upon iOS users.",1,"Hi @azejnn Merry Christmas to you. Thank you for your feedback and we are sorry to hear that you were not able to launch the survey. We are unable to share account details over a public platform, please contact us at our hotline so we can attend to you accordingly.",NaT,0.094,0.076,0.83,0.1926,6,Detractor,"['issue', 'week', 'something', 'user', 'roll', 'baffling', 'service', 'recovery', 'user']",0,App Responsiveness,2023-12-23,,,
appStore,2023-08-07 08:36:43,GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.,1,"Hi there! We're always striving to improve. 🙏 We recognise that our customers use GXS for Grab and Singtel Dash transactions to earn 1.2x reward points from eligible transactions, so from 17 August 2023, we're increasing the interest rates for our GXS Main Account from 0.08% to 2.38% p.a. and the Saving Pockets will be adjusted to 2.68% p.a. 💜",NaT,0.213,0.065,0.722,0.8402,10,Promoter,"['interest', 'pocket', 'change', 'interest', 'period', 'month', 'bank', 'promise', 'bank']",1,Money Growth (Interest Rates),2023-08-07,,,
appStore,2023-08-07 08:36:43,GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.,1,"Hi there! We're always striving to improve. 🙏 We recognise that our customers use GXS for Grab and Singtel Dash transactions to earn 1.2x reward points from eligible transactions, so from 17 August 2023, we're increasing the interest rates for our GXS Main Account from 0.08% to 2.38% p.a. and the Saving Pockets will be adjusted to 2.68% p.a. 💜",NaT,0.213,0.065,0.722,0.8402,10,Promoter,"['interest', 'pocket', 'change', 'interest', 'period', 'month', 'bank', 'promise', 'bank']",5,Credit card usage,2023-08-07,,,
appStore,2023-12-03 15:49:37,This is very good. Really very helpful. I Will keep in touch with them. 👌🏽😍,5,"Hi Sanadece, thank you for your kind words. This review means the world to us, it made our day! 💜🤞 ",NaT,0.466,0.0,0.534,0.9403,10,Promoter,"['helpful', 'touch']",0,App Responsiveness,2023-12-03,,,
appStore,2023-11-20 08:16:12,Such a great service compared to Bank,5,Hey Calvin! Thanks so much for the amazing 5-star review! It truly means a lot to us and our entire team. We will continue to work hard to ensure that your experience with us remains excellent. Happy banking with GXS! ,NaT,0.406,0.0,0.594,0.6249,8,Passive,"['service', 'bank']",8,Safety,2023-11-20,Safety,15.0,Poor customer service compared to banks
appStore,2023-06-05 10:26:09,Easy to use with high interest rate,5,"Thanks for your review, Hayley! We're glad to hear that you find our app easy to use. We strive to provide competitive rates and help you maximize your savings. If you have any further suggestions or questions, feel free to reach out. We're here to assist you!💜🚀",NaT,0.541,0.0,0.459,0.7096,9,Promoter,"['interest', 'rate']",1,Money Growth (Interest Rates),2023-06-05,Money Growth (Interest Rates),26.0,Limited availability of high interest rates
appStore,2023-11-10 14:32:16,You get the highest saving interest rate on the market,5,"Yipee! Our interest rates are indeed competitive, huh? 😉 Thanks for your stars, rcpsgp! This keeps us going, but feel free to let us know if you have any feedback too! ",NaT,0.25,0.0,0.75,0.4588,8,Passive,"['interest', 'rate', 'market']",1,Money Growth (Interest Rates),2023-11-10,Money Growth (Interest Rates),27.0,Limited availability of high interest rates
appStore,2024-02-21 14:03:59,Show allow to increase amount not reduce and stay that way. For a first timer I didn’t know that once I reduce amt I cannot get back the original amount that is given to me.,1,Hi there. We're sorry to hear about your experience. Thank you for your feedback. 💜 We're continuously working hard on improving our product offerings and also adding more features to our app to make your experience better.🙏\r\n,NaT,0.169,0.0,0.831,0.6705,9,Promoter,"['show', 'increase', 'amount', 'stay', 'timer', 'amount']",8,Safety,2024-02-21,,,
appStore,2023-01-24 15:24:38,This should be removed from App Store. A bank that is not even able to accept a customer sign up. What a joke from Grab and  Singtel.,1,"\r\nThank you for your thoughts and we're sorry for the wait, Jyotkumar 🙏 At the moment, we're sending out invites in phases so that our users can have the best experience possible with us. We will reach out when we are ready for you so stay tuned to your email inbox for updates! ",NaT,0.161,0.0,0.839,0.5859,8,Passive,"['store', 'bank', 'accept', 'customer', 'sign', 'joke', 'grab', 'singtel']",0,App Responsiveness,2023-01-24,,,
appStore,2023-01-24 15:24:38,This should be removed from App Store. A bank that is not even able to accept a customer sign up. What a joke from Grab and  Singtel.,1,"\r\nThank you for your thoughts and we're sorry for the wait, Jyotkumar 🙏 At the moment, we're sending out invites in phases so that our users can have the best experience possible with us. We will reach out when we are ready for you so stay tuned to your email inbox for updates! ",NaT,0.161,0.0,0.839,0.5859,8,Passive,"['store', 'bank', 'accept', 'customer', 'sign', 'joke', 'grab', 'singtel']",2,Customer Services,2023-01-24,,,
appStore,2023-11-02 13:47:28,Loan disbursement was immediate. App is simple to use. Repayments just as easy.,5,We're thrilled to hear that our app has hit all the right notes! 🎉 We're glad that you love our GXS FlexiLoan features too! 💜,NaT,0.195,0.0,0.805,0.4404,7,Passive,"['loan', 'disbursement', 'immediate', 'simple', 'repayment']",0,App Responsiveness,2023-11-02,App Responsiveness,34.0,Others
appStore,2023-10-08 10:35:35,Best and fast loan approval,5,"Hey there! We are happy that you like our app! Your review made our day, and we are definitely striving to improve our products to serve you better! 🚀💜",NaT,0.709,0.0,0.291,0.8074,9,Promoter,"['fast', 'loan', 'approval']",0,App Responsiveness,2023-10-08,,,
appStore,2023-10-08 10:35:35,Best and fast loan approval,5,"Hey there! We are happy that you like our app! Your review made our day, and we are definitely striving to improve our products to serve you better! 🚀💜",NaT,0.709,0.0,0.291,0.8074,9,Promoter,"['fast', 'loan', 'approval']",9,Customer trust,2023-10-08,,,
appStore,2023-07-21 23:56:46,"Extremely disappointed after downloading the app, waited and waited for it to open and still told to wait and wait and wait and wait and wait……………..no ends!!!!!👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",1,"Hi there! We’re sorry to make you feel that way, Wu Ming. Could you please get in touch with us at  (+65) 3105 2055? Alternatively, you may also write in to our email at help@gxs.com.sg with your contact details, so that we can take a closer look into this. 🙏 ",NaT,0.0,0.073,0.927,-0.6768,1,Detractor,"['told', 'wait', 'wait', 'wait', 'wait', 'wait', 'end']",6,Login & Account Setup,2023-07-21,,,
appStore,2023-11-15 11:32:12,"I cannot open the app at all, even after updates it keeps telling something went wrong.",1,We're sorry to hear about your experience while trying to access the GXS app. 🙏 We understand the importance of this matter and are committed to make things right for you. Please drop us an email at help@gxs.com.sg or give us a ring at (+65) 3105 2055. We're here to help! 💜,NaT,0.0,0.171,0.829,-0.4767,2,Detractor,"['update', 'something']",7,Competition,2023-11-15,Competition,2.0,Difficulty logging in
appStore,2023-11-15 11:32:12,"I cannot open the app at all, even after updates it keeps telling something went wrong.",1,We're sorry to hear about your experience while trying to access the GXS app. 🙏 We understand the importance of this matter and are committed to make things right for you. Please drop us an email at help@gxs.com.sg or give us a ring at (+65) 3105 2055. We're here to help! 💜,NaT,0.0,0.171,0.829,-0.4767,2,Detractor,"['update', 'something']",7,Competition,2023-11-15,Competition,15.0,Problems with opening the app
appStore,2023-09-19 01:56:43,increase so much just to make us open account then now int rate worst than t bills. UI also so dark. not much use case except earn risk free rate. grab is expensive,1,Hi there! We’re sorry to make you feel that way! 🙏We appreciate your valuable feedback and rest assured that it is an essential part of our continuous improvement process. 💜🚀,NaT,0.137,0.152,0.711,-0.1531,4,Detractor,"['increase', 'account', 'rate', 'bill', 'dark', 'case', 'earn', 'risk', 'rate', 'grab']",1,Money Growth (Interest Rates),2023-09-19,,,
appStore,2023-09-19 01:56:43,increase so much just to make us open account then now int rate worst than t bills. UI also so dark. not much use case except earn risk free rate. grab is expensive,1,Hi there! We’re sorry to make you feel that way! 🙏We appreciate your valuable feedback and rest assured that it is an essential part of our continuous improvement process. 💜🚀,NaT,0.137,0.152,0.711,-0.1531,4,Detractor,"['increase', 'account', 'rate', 'bill', 'dark', 'case', 'earn', 'risk', 'rate', 'grab']",8,Safety,2023-09-19,,,
appStore,2023-12-06 03:56:06,Gxs provide good interest for their pocket savings.,5,"Hi Roundi07, we are delighted that you are happy with our features. Thank you for your appreciation and support!",NaT,0.496,0.0,0.504,0.7096,9,Promoter,"['provide', 'interest', 'pocket']",1,Money Growth (Interest Rates),2023-12-06,Money Growth (Interest Rates),28.0,Limited availability of high interest rates
