dataFrom,date,review,clean_review,Topic,key,Positive Score,Negative Score,Neutral Score,Compound Score,nps_indiv,nps_category,rating,extracted_devresp,devresp_time
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Confusing user interface,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Others,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Poor login functionality,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Fingerprint login not working,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Unclear error messages,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Terrible user experience,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Lack of transparency,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Issues with interest rates,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Difficulty in signing up,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Compatibility issues,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Occasional errors,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Delayed response,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Confusing user interface,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2022-10-02,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",User Interface,Others,0.141,0.032,0.826,0.8313,9,Promoter,5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04T05:49:50Z
appStore,2023-04-23,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",App Responsiveness,Difficulties in account registration,0.206,0.016,0.778,0.9568,10,Promoter,1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",2023-04-25T01:35:24Z
appStore,2023-04-23,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",App Responsiveness,Issues with loan application and approval process,0.206,0.016,0.778,0.9568,10,Promoter,1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",2023-04-25T01:35:24Z
appStore,2023-04-23,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",App Responsiveness,Slow transfer speed and connectivity problems,0.206,0.016,0.778,0.9568,10,Promoter,1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",2023-04-25T01:35:24Z
appStore,2023-04-23,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",App Responsiveness,Lack of certain features such as bank transfer,0.206,0.016,0.778,0.9568,10,Promoter,1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",2023-04-25T01:35:24Z
appStore,2023-04-23,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",App Responsiveness,Poor customer service,0.206,0.016,0.778,0.9568,10,Promoter,1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",2023-04-25T01:35:24Z
appStore,2023-04-23,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",App Responsiveness,User interface and design issues,0.206,0.016,0.778,0.9568,10,Promoter,1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",2023-04-25T01:35:24Z
appStore,2023-04-23,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",App Responsiveness,Difficulties in navigating the app,0.206,0.016,0.778,0.9568,10,Promoter,1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",2023-04-25T01:35:24Z
appStore,2023-04-23,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",App Responsiveness,Bugs and glitches in the app,0.206,0.016,0.778,0.9568,10,Promoter,1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",2023-04-25T01:35:24Z
appStore,2023-04-23,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",App Responsiveness,Lack of clear instructions or error messages,0.206,0.016,0.778,0.9568,10,Promoter,1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",2023-04-25T01:35:24Z
appStore,2023-04-23,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",App Responsiveness,Others,0.206,0.016,0.778,0.9568,10,Promoter,1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",2023-04-25T01:35:24Z
appStore,2023-09-13,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???","['fast', 'reversal', 'money', 'bank', 'time', 'life', 'fast', 'transfer', 'review', 'medium', 'bank', 'review', 'issue', 'need', 'developer', 'reply', 'review', 'touch', 'bank', 'joke', 'banking', 'feature', 'payee', 'detail', 'kind', 'development', 'staff', 'quality']",App Responsiveness,Difficulties in account registration,0.099,0.038,0.864,0.6848,8,Promoter,1,"Thank you for your valuable feedback! We're actively working on adding the payee feature to our app. If you ever encounter any issues in the meantime, please don't hesitate to reach out to our 24/7 hotline, and we'll be happy to assist you. Your input is much appreciated!",2023-09-14T02:01:47Z
appStore,2023-09-13,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???","['fast', 'reversal', 'money', 'bank', 'time', 'life', 'fast', 'transfer', 'review', 'medium', 'bank', 'review', 'issue', 'need', 'developer', 'reply', 'review', 'touch', 'bank', 'joke', 'banking', 'feature', 'payee', 'detail', 'kind', 'development', 'staff', 'quality']",App Responsiveness,Issues with loan application and approval process,0.099,0.038,0.864,0.6848,8,Promoter,1,"Thank you for your valuable feedback! We're actively working on adding the payee feature to our app. If you ever encounter any issues in the meantime, please don't hesitate to reach out to our 24/7 hotline, and we'll be happy to assist you. Your input is much appreciated!",2023-09-14T02:01:47Z
appStore,2023-09-13,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???","['fast', 'reversal', 'money', 'bank', 'time', 'life', 'fast', 'transfer', 'review', 'medium', 'bank', 'review', 'issue', 'need', 'developer', 'reply', 'review', 'touch', 'bank', 'joke', 'banking', 'feature', 'payee', 'detail', 'kind', 'development', 'staff', 'quality']",App Responsiveness,Slow transfer speed and connectivity problems,0.099,0.038,0.864,0.6848,8,Promoter,1,"Thank you for your valuable feedback! We're actively working on adding the payee feature to our app. If you ever encounter any issues in the meantime, please don't hesitate to reach out to our 24/7 hotline, and we'll be happy to assist you. Your input is much appreciated!",2023-09-14T02:01:47Z
appStore,2023-09-13,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???","['fast', 'reversal', 'money', 'bank', 'time', 'life', 'fast', 'transfer', 'review', 'medium', 'bank', 'review', 'issue', 'need', 'developer', 'reply', 'review', 'touch', 'bank', 'joke', 'banking', 'feature', 'payee', 'detail', 'kind', 'development', 'staff', 'quality']",App Responsiveness,Lack of certain features such as bank transfer,0.099,0.038,0.864,0.6848,8,Promoter,1,"Thank you for your valuable feedback! We're actively working on adding the payee feature to our app. If you ever encounter any issues in the meantime, please don't hesitate to reach out to our 24/7 hotline, and we'll be happy to assist you. Your input is much appreciated!",2023-09-14T02:01:47Z
appStore,2023-09-13,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???","['fast', 'reversal', 'money', 'bank', 'time', 'life', 'fast', 'transfer', 'review', 'medium', 'bank', 'review', 'issue', 'need', 'developer', 'reply', 'review', 'touch', 'bank', 'joke', 'banking', 'feature', 'payee', 'detail', 'kind', 'development', 'staff', 'quality']",App Responsiveness,Poor customer service,0.099,0.038,0.864,0.6848,8,Promoter,1,"Thank you for your valuable feedback! We're actively working on adding the payee feature to our app. If you ever encounter any issues in the meantime, please don't hesitate to reach out to our 24/7 hotline, and we'll be happy to assist you. Your input is much appreciated!",2023-09-14T02:01:47Z
