Topic,Issue,Solution
Customer Trust,Issues with Flexiloan,Increase maximum deposit limit to above 5k
Customer Trust,Lack of customer support,Provide more personalized customer support to users
Customer Trust,Unclear error messages,Improve the error messages to provide more information
Customer Trust,Limited attempts to use the app,Make clear that roll out is in batches to avoid confusion from users who are unable to sign up
Customer Trust,Difficulty registering and depositing,Include FAQ on app crashing reasons and solutions
Customer Trust,Confusing interface,Redesign app layout to be more intuitive and user-friendly
Customer Trust,Limited features,Include feature to save payee details
Login & Account Setup,Difficulty logging in,Inform users about updates on 'Forget Password' issue
Login & Account Setup,Unable to set up account,Cannot set up my account in redmi 8T. Reach the email 2FA before I key in the numbers App closed
Login & Account Setup,Poor customer support,Provide clear instructions and reasons for sign-up failures
Login & Account Setup,Buggy app,"Test the app thoroughly on different devices, including iOS, before rolling it out to ensure smooth service."
Login & Account Setup,Issues with forgot password function,Inform users about updates on 'Forget Password' issue
Login & Account Setup,Frustration with error messages,Improve the error messages to provide more information for each problem
Login & Account Setup,Singpass registration issues,Check on Singpass Login feature as multiple user complained about being stuck on login
Login & Account Setup,Inability to use the app on certain devices,Offer FAQ page on incompatability for certain devices
Login & Account Setup,Delayed email responses,"Improve customer support, including email replies"
Login & Account Setup,Lack of readiness for users,Test the app thoroughly on different devices before rolling it out to ensure smooth service recovery.
Login & Account Setup,Others,Make the app accessible for foreigners who want to apply.
Money Growth (Interest Rates),Low interest rate,Be transparent about interest rate changes and avoid bait-and-switch tactics
Money Growth (Interest Rates),Poor customer service,"Improve customer support, including email replies"
Money Growth (Interest Rates),Buggy app,Improve the onboarding process and fix bugs
Money Growth (Interest Rates),Lack of features,Add basic functions like saving a payee
Money Growth (Interest Rates),High minimum balance requirement,Increase the savings cap beyond $5000
Money Growth (Interest Rates),Difficulties in registering,Improve the onboarding process and fix bugs
Money Growth (Interest Rates),Lack of support for SGQR,Support SGQR and other payment methods
Money Growth (Interest Rates),Confusing user interface,Update and remove the app's seasonal designs earlier
Money Growth (Interest Rates),Reduction in interest rates,Be transparent about interest rate changes and avoid bait-and-switch tactics
Money Growth (Interest Rates),Difficulties in opening the app,Address any bugs or issues that may be causing the app to malfunction or crash
Money Growth (Interest Rates),Limited availability of high interest rates,Be transparent about interest rate changes and avoid bait-and-switch tactics
Money Growth (Interest Rates),Long onboarding process,Shorten onboarding processes by including features such as autofill from Singpass
Money Growth (Interest Rates),Others,Provide clear communication about account closures and reasons behind them
Money Growth (Interest Rates),Others,Ensure the app is user-friendly and functional before launching.
Safety,Seamless integration not available on iPad,"Integration issues need to be addressed, including the first-time login requiring SingPass but not generating a QR code"
Safety,Difficulty opening app,Improve app stability to prevent crashes during registration.
Safety,Issues with Singpass details,Integration issues with Singpass need to be addressed
Safety,Poor interface design on mobile,Improve user interface design on mobile such as remove overlapping text
Safety,Difficulty raising deposit cap,Increase the savings cap beyond $5000
Safety,Inability to delete fake accounts,Investigate issue of inconsistent app reviews content on app store and play store
Safety,Confusing account creation process,Provide clear communication to users about any changes or updates to the app or account policies
Safety,Difficulty reducing transaction amounts,Provide clear communication to users about any changes or updates to the app or account policies
Safety,Issues with user interface,Allow for adding payees for FAST transfer as a basic online banking service
Safety,Blank screen issue,Improve implementation of Singpass for sign-up process
Safety,Difficulty with pull down refresh,Improve the pull-down refresh function to make it feel smoother
Safety,Others,Address any bugs or issues that may be causing the app to malfunction or crash.
Service Products,Long waiting list,Fix long waiting list and communication issues regarding waiting list status
Service Products,Difficulty in signing up,Improve sign-up process and resolve issues with signing up
Service Products,High interest rates,Be transparent about interest rate changes and avoid bait-and-switch tactics
Service Products,High interest rates,Increase loan eligibility to include non-Singaporeans
Service Products,Technical glitches,Ensure accurate scanning and processing of payment QR codes
Service Products,Technical glitches,"Improve app functionality and user experience (e.g. adding payees, updating app for debit card activation)"
Service Products,Technical glitches,Provide clear and consistent communication to users (e.g. not asking for app ratings only for certain ratings)
Service Products,Limited eligibility for loans,Offer FAQ page on inelligibility for non-Singaporeans
Service Products,Lack of transparency,Easy to apply good full amount of loan given compare to outside or lending bee ... or they never cut your loan amouny . interest can be save if payment early. multiple loan also can.. only it could be better if can increase loan amount after loan given .. or can be resgistet again once deleted.
Service Products,Redundant features,"Remove redundant features, such as the requirement to set up a password for a phone"
Service Products,Payment issues,Ensure accurate scanning and processing of payment QR codes
Service Products,Absence of debit card,"Improve app functionality and user experience (e.g. adding payees, updating app for debit card activation)"
Service Products,Misleading app behavior,Ensure proper functioning of the app without requiring repeated downloads.
Service Products,Others,Maintain promised interest rates and avoid reducing them shortly after account opening
Service Products,Others,Ensure proper functioning of the app without requiring repeated downloads.
User Interface,Poor login functionality,Check on Singpass Login feature as multiple user complained about being stuck on login
User Interface,Poor login functionality,Inform users about updates on 'Forget Password' issue
User Interface,Poor login functionality,Address any bugs or issues that may be causing the app to malfunction or crash
User Interface,Fingerprint login not working,Address any bugs or issues that may be causing fingerprint login function to malfunction
User Interface,Unclear error messages,Improve the error messages to provide more information on why the registration is failing.
User Interface,Terrible user experience,Improve the error messages to provide more information on why the registration is failing.
User Interface,Lack of transparency,Be transparent in the application selection process
User Interface,Issues with interest rates,Be transparent about interest rate changes and avoid bait-and-switch tactics
User Interface,Difficulty in signing up,Offer FAQ page on inelligibility for non-Singaporeans
User Interface,Compatibility issues,Address compatibility issues with devices
User Interface,Compatibility issues,Address device personal security concerns
User Interface,Occasional errors,Provide clear error messages
User Interface,Delayed response,Improve communication and handling of changes in service
User Interface,Others,Add the option to save payees
User Interface,Others,Improve communication and handling of changes in service
User Interface,Others,Maintain high interest rates after gaining users.
