Topic,,key,review
Competition,5,Difficulty logging in,"Your phone cannot be used Lol, which part of my phone have been modified? Nvr root or anything This is something that should not even be released to the public when you can't even get device authentication working UPDATE: So they decided to just close my issue and deemed it as ""resolved"" when it isn't Dont ever use this pos software"
Competition,6,Difficulty logging in,"I not be able to log in GXS bank today after I pay off my 1st outstanding loan. Is there a bug or hack? I hope my $ was offset for the loan. Even even I restart, power on off my phone, after updating the app, I unable to log in. When I log in with fingerprint, keep loading. Pls help."
Competition,7,Difficulty logging in,"Great experience. Setup, top up, setup pocket and transfer smoothly"
Competition,8,Difficulty logging in,"Hopeless app. If you can't auto startup singpass app, how to complete the registration!!!!"
Competition,9,Difficulty logging in,"App got a lot of issues, forever logging in singpass when want to get an account"
Competition,10,Difficulty logging in,App auto exit after I clicked pocket account icon to see the details of each pocket account. Happened on from yesterday. Issue resolved after app update on 8 Feb. Thank you for the swift response.
Competition,11,Poor customer service,"When you asked your staff to write a 5* review, donâ€™t just get them to write great app, easy to use or hurray. Write how did the app help you, how you benefit from the app and why the app is soooo good?"
Competition,12,Poor customer service,"Pathetic app and support. Paynow qr, which is the only way to spend money from this bank account is not working for months and support is providing meaningless replies"
Competition,13,Issues with Singpass,I'm stuck on the singpass page without being able to proceed. All is updated to latest ver.
Competition,14,Issues with Singpass,"Hopeless app. If you can't auto startup singpass app, how to complete the registration!!!!"
Competition,15,Problems with opening the app,"I cannot open the app at all, even after updates it keeps telling something went wrong."
Competition,16,Problems with opening the app,Unable to open all of a sudden when I try on 7 Sep and only stuck in loading screen
Competition,17,Problems with opening the app,"I installed the app and got to the first screen. When I tried to proceed, it popped up a message saying and there is an overlap app that is NOT SECURED. It then asked if I want to proceed. What is this about?"
Competition,18,Lack of auto startup,"Hopeless app. If you can't auto startup singpass app, how to complete the registration!!!!"
Competition,19,Loan application issues,Easy loan and easy payment with no hassle.
Competition,20,Loan application issues,Not able to sign up the loan portion using singpass. It keep showing logging in for the past 10 minutes
Competition,21,Display overlay issues,"[Update 2023-05-01] issue of display overlay causing screen unresponsiveness has been resolved! [Update 2023-01-25] Thanks to user E L's review, i rem tt my phone has display overlay add-on n this seems to be causing the issue. I tried app on my phone's 2ndary display (dual screen phone) n am able to use app Original review - screen is unresponsive regardless whether launched from GXS app or from Grab app"
Competition,22,Top up issues,"Great experience. Setup, top up, setup pocket and transfer smoothly"
Competition,23,Pocket account issues,App auto exit after I clicked pocket account icon to see the details of each pocket account. Happened on from yesterday. Issue resolved after app update on 8 Feb. Thank you for the swift response.
Competition,24,Inability to save pay,"Year 2023, a banking app that can't save pay, are you living in yesteryears?"
Competition,25,Unclear instructions,Easy to use and log in! Very clean instruction.
Competition,26,Lack of responsiveness,"Pathetic app and support. Paynow qr, which is the only way to spend money from this bank account is not working for months and support is providing meaningless replies"
Competition,27,Issues with PayNow QR,"Pathetic app and support. Paynow qr, which is the only way to spend money from this bank account is not working for months and support is providing meaningless replies"
Competition,28,Slow response time,Awesome experience so far. UI is flawless. Innovative ideas of various pockets and ROI caught my interest.
Competition,29,Sign up issues,Not able to sign up the loan portion using singpass. It keep showing logging in for the past 10 minutes
Competition,30,Issues with user interface UI,Awesome experience so far. UI is flawless. Innovative ideas of various pockets and ROI caught my interest.
Competition,31,Others,"Easy to use, clear info and rapid yet secure transactions. Highly recommend."
Competition,32,Others,Sent me texts and email to tell me I am selected for flexi loan . But non is approved . Said borrow from $200 and above but canâ€™t even borrow $200 ðŸ˜‚ rejected all of my friend and family members . So who can borrow ? Millionaire ?
Competition,33,Others,"The apps cannot make it. I tried to apply for a loan. After filling up all the forms, unable to proceed after the last question, are you a US citizens. The next button does not pop up be the answer is yes or No."
Credit card usage,0,Inability to save money,Can try for saving money !! My money said they liked there
Credit card usage,1,App downloaded but not working,Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?
Credit card usage,2,Fast transactions and good app design,No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.
Credit card usage,3,Fast transactions and good app design,"Brilliant app design, fast transactions, excellent rates. Keep up the good work! What more can I say?"
Credit card usage,4,Incorrect income extraction from SingPass,"Income extracted from SingPass is incorrect.
Information in SingPass is correct
Which means the process of extracting information needs to be updated."
Credit card usage,5,Unable to log in,I don't set. A password in my phone n not allow me to down load this apps
Credit card usage,6,Unable to log in,I am unable to log in today when i could yesterday. I cant transfer my money out to use. There is no alternative like physical counter or website so my money is stuck when i urgently need my money.
Credit card usage,7,Unable to log in,Can't even open the GXS app... the only way to access your account with a digital bank. It's like placing your money and cementing it with a roof and 4 walls with no doors!
Credit card usage,8,Unable to log in,Cant even apply.. apps doesn't work
Credit card usage,9,Unable to log in,The app homepage have no setting or other function for me to update or assign..
Credit card usage,10,Unable to log in,"Doesn't work on my phone, cannot click and cannot scroll anything. Only works if I open it as a mini pop-up app. Had to create an account via someone else's phone. Please fix!"
Credit card usage,11,Unable to log in,"forces you to use singpass to register, is slow when browsing the FAQs, and the login doesn't allow singpass-based password login, when the registration does??? maximum frustration"
Credit card usage,12,Delay in account activation,after two week still pending my account.
Credit card usage,13,Inability to add payees,No option to add payees
Credit card usage,14,Inability to add payees,Please put in option for adding Payee/beneficiary in the app. We should not be typing in bank account number everytime we make a transfer.
Credit card usage,15,Slow processing and long wait times,"Few months have passed. And we still can't add favourite payee, etc. Can u guy really work on it"
Credit card usage,16,Slow processing and long wait times,"Update 2023/07/20: saw the news about more slot being open but it still gives the same ""library tampering"" warning and force closed, no idea why, maybe it's because of developer mode is enable or whatever, but I am an app developer and no other bank apps complain about anything."
Credit card usage,17,App loading issues,"Can't even load properly. Prompted to set 6 digit security code, then application disappear and had to redo again with the same problem. Is this a legitimate mobile app?"
Credit card usage,18,Lack of security,"Insecure app beware folks. I applied using my singpass and instead of reviewing my own details, I saw someone's details on my screen instead, race, name, DOB, employer name on next step etc. I was shocked! Took a screenshot Incase anyone wanna verify with me."
Credit card usage,19,Poor app functionality,such a lousy app. cant even login or set up account
Credit card usage,20,Poor app functionality,The app homepage have no setting or other function for me to update or assign..
Credit card usage,21,Deceiving the public,Garbage company for deceiving the public
Credit card usage,22,No option to add payees,No option to add payees
Credit card usage,23,Insecure app,"Insecure app beware folks. I applied using my singpass and instead of reviewing my own details, I saw someone's details on my screen instead, race, name, DOB, employer name on next step etc. I was shocked! Took a screenshot Incase anyone wanna verify with me."
Credit card usage,24,Doesn t work on phone,"Doesn't work on my phone, cannot click and cannot scroll anything. Only works if I open it as a mini pop-up app. Had to create an account via someone else's phone. Please fix!"
Credit card usage,25,Slow registration process with SingPass,"forces you to use singpass to register, is slow when browsing the FAQs, and the login doesn't allow singpass-based password login, when the registration does??? maximum frustration"
Credit card usage,26,Others,Great app! Kudos to the GXS team in developing such an amazing app. Excited to see what more this product can do!
Credit card usage,27,Others,A whole new era of banking. Go GXS or go home! ðŸ’ªðŸ¼
Credit card usage,28,Others,"Fast and easier way to get the loan amount, as a foreigner i cant make but my friend helped me, it will be useful if foreigner also can borrow.. This is a suggestion.. Thanks"
Customer Services,0,Inability to save payments,"My biggest frustration is that I canâ€™t save payees when sending money.  Everytime I need to transfer funds, I have to select a transfer type and fully type out the account number, payeeâ€™s name, and select the bank.

This is incredibly tedious esp for accounts I pay frequently. Without this â€œfundamentalâ€ feature a payee list, itâ€™s easy to make mistakes entering long account number, name and bank name each time."
Customer Services,1,Issues with GXS apps linked to Grab app,Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.
Customer Services,2,Receiving email invites from GXS,"Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying â€œItâ€™s not you, itâ€™s usâ€. 

Ummmm okayyyy"
Customer Services,3,Request for SingPass sign in feature,could you add a way to sign in using singpass password instead of only having to use the app?
Customer Services,4,Lack of transparency and access to funds,"Access to funds blocked, no transparency apart from it being a recognized technical issue, no ETA and no communications from Grab or Singtel."
Customer Services,5,Lack of transparency and access to funds,Unable to sign in to account
Customer Services,6,Authenticity concerns,Is this really an authentic app for GXS? Looks cheap.
Customer Services,7,Inability to join or open account,"useless app.  unable to join or open account,
app is not open to all in sg"
Customer Services,8,Digital savings bank account issues,Very good digital savings bank account that helps grow our funds.
Customer Services,9,Digital savings bank account issues,Seems to be full. Unable to sign up. Uninstalling since it is the case.
Customer Services,10,Digital savings bank account issues,Am trying to redo application. So i closed account. Now cannot re open. Quote lost in space
Customer Services,11,Digital savings bank account issues,Firstly i can't even log in shows some error n stuff haiz
Customer Services,12,Digital savings bank account issues,Seamless. Got it up and running in less than 5mins! Easy to transfer in and out from other banks. I like the daily interest credit. Helps me set aside money for daily use and motivates me to check how much I'm getting everyday. Dun understand why there are gripes and complaints from other reviewers. This app is fantastic ðŸ˜
Customer Services,13,Digital savings bank account issues,I have been trying for few hours to signed up for the flexiloan using Singpass.. till now it shows couldn't retrieve Myinfo.. wanted to Live Chat with anyone for assistance but there's no icon showing Live chat at the help center at all..
Customer Services,14,Digital savings bank account issues,Tried multiple times still unable to sign up....
Customer Services,15,Digital savings bank account issues,All early sign up slots taken? I thought it's already open for all to sign up ?
Customer Services,16,Digital savings bank account issues,Download already can't even open the file.
Customer Services,17,Digital savings bank account issues,"I wish we can put a 0 star for it. Make you create an account, wait for it only to tell you that it is full while others cut queue to have the account created while you continue to wait. Probably just out to farm your data. Dont bother"
Customer Services,18,Digital savings bank account issues,"Sign up failed without given a reason. Ask to see FAQ but click it doesn't link to it. Hello! I don't know where you guys are heading. If you don't want people to sign up, just cross out at the beginning, are you trying to gather personal data???!!!!!"
Customer Services,19,Digital savings bank account issues,Scan QR feature failed big time! Parsed 16.2 as 16.02! Amatuer mistake. Did the developer of this feature attend more than a day of class in CS?!
Customer Services,20,Digital savings bank account issues,Needs a feature to save payees
Customer Services,21,Digital savings bank account issues,Apps easy to use and easy transfer
Customer Services,22,Digital savings bank account issues,Can't even open the app after downloaded it....try redownload it a few time also same
Customer Services,23,Digital savings bank account issues,I can't sign up at all!!!! It just go blank after I click up with singpass
Customer Services,24,Digital savings bank account issues,Unable to sign up using singpass after multiple times.
Customer Services,25,Digital savings bank account issues,Waste time download. Keep repeat to login my Singpass
Customer Services,26,Digital savings bank account issues,"Tried to sign up using singpass. After approve and redirect to the app, it still keep asking me to sign up.. useless app"
Customer Services,27,Digital savings bank account issues,Terrible implementation of Singpass. Sign up keeps redirecting to Singpass
Customer Services,28,Digital savings bank account issues,Worst apps everything also no resolve well
Customer Services,29,Digital savings bank account issues,Waste of time app!! Keep on crashing when want to register. ZERO stars !!!
Customer Services,30,Digital savings bank account issues,First time checking out on dis and didnt know grab came with this and enhanced features was super accessible indeed within mins i was able.to withdraw e.loan even though e security was quite super securable which i liked.thank u for making things affordable and reachable for difficult times for mummiesðŸ‘ŒðŸ™ðŸ¥°ðŸŒ¹
Customer Services,31,Digital savings bank account issues,Its a simple bank app to help you save and transfer your daily needs. Just dont split screen or use another app when using it.
Customer Services,32,Digital savings bank account issues,"If you not ready, dont waste everbody's time and effort to install your app! Before launch your app rating is 2.5, you guys are really clueless! (Dec.20) - they opened my Saving Account with cap of $5K, are you kidding me? Running a bank or school project?"
Customer Services,33,Digital savings bank account issues,"If your bank is not ready for the public, you shouldn't even shout out you are ready. Unlike Trust, you download the app and they are really to accept application sign up. Super disappointed and how to trust my fund with your organisation?"
Customer Services,34,Digital savings bank account issues,They shouldn't launch the app if it is not ready. Super misleading news published on Aug 31.
Customer Services,35,Digital savings bank account issues,"Can not download yet, just always show pending......"
Customer Services,36,SingPass sign in problems,Unable to sign up using singpass after multiple times.
Customer Services,37,SingPass sign in problems,"Tried to sign up using singpass. After approve and redirect to the app, it still keep asking me to sign up.. useless app"
Customer Services,38,SingPass sign in problems,Terrible implementation of Singpass. Sign up keeps redirecting to Singpass
Customer Services,39,App crashing and freezing,"I wish we can put a 0 star for it. Make you create an account, wait for it only to tell you that it is full while others cut queue to have the account created while you continue to wait. Probably just out to farm your data. Dont bother"
Customer Services,40,App crashing and freezing,Waste of time app!! Keep on crashing when want to register. ZERO stars !!!
Customer Services,41,Scan QR code failure,Scan QR feature failed big time! Parsed 16.2 as 16.02! Amatuer mistake. Did the developer of this feature attend more than a day of class in CS?!
Customer Services,42,Lack of customer support,Worst apps everything also no resolve well
Customer Services,43,Others,save ur money and grow
Customer Services,44,Others,"Received email notifying savings account is available to sign up, but when i tried to sign up, i got rejected immediately. No reason was given when rejected, only show faq which does not answer my question. Even after reaching out to the support email, no specific reason was given. I was simply told not eligible. An alternative savings account I suggest would be OCBC 360, which also offer high interest rate with terms and conditions."
Customer Services,45,Others,Cannot open the apps. Why partner with Grab? Useless app
Customer Services,46,Others,"An absolutely rubbish apps, with zero chance of getting loan approval, totally useless"
Customer trust,0,Difficulty processing application,They unable to process my application. 4x attempt
Customer trust,1,Difficulty processing application,Lousy app. Applied on Saturday and was informed that application closed on Tuesday. Waste time.
Customer trust,2,Login issues,is there a login issue now
Customer trust,3,Login issues,"Cannot login all of a sudden. Tried to uninstall and reinstall. Still no changes. What do i do here? I've got a pending repayment due. And if this continues, i will mostly probably be charged the late interest due the the app have login issues."
Customer trust,4,Login issues,"Hi, is something wrong with the app? Am error message says ""Something went wrong"" when I tried to log in with the Passcode I set yesterday."
Customer trust,5,Crashing freezing,Attempt to try but it keep post something wrong.cannot go thru the apps.dont know why?3 times try even more but still can't get thru?
Customer trust,6,Crashing freezing,Crash upon login into a newly created account. Reinstall and still the same. I'm on Android 13 phone.
Customer trust,7,Crashing freezing,"Once login, it just hang there and when try to use it in grab app it just say that my phone unable to use this app"
Customer trust,8,Crashing freezing,Intuitive and User-Friendly Interface. No doubt there are further improvements to be made. Looking forward to what the digital banking scene has to offer! Suggestion to have an interface/section for users to offer feedback & suggestions for potential pain points/improvements.
Customer trust,9,Unable to cancel delete personal details,How to cancel or delete all my personal detail submit on GXS app thru Singpass?
Customer trust,10,Misleading advertising,"Misleading advertisement for flexiloan promotion for July 2023, stated rate as low as 2.99% p.a. Issued a rate that was extraordinary and way beyond all major banks that would offered even at their highest peak rate. A real shock of disbelief, thinking was a sign-up bug but it ended to be their best rate offered. Would be really cautious on signing up any offers from GXS even though their app user interface, interaction, and wording do project confidence in honoring their offer."
Customer trust,11,Issues with Flexiloan,Gxs Flexiloan doesn't work even though I meet the eligible criteria..
Customer trust,12,Issues with Flexiloan,Good to have the UI updated. Only issue now is the 5k max deposit.
Customer trust,13,Lack of customer support,"Dumbest banking app ever. Get your own people to put 5*, never seen such app before, if you are good then make the app good and give 3.48%"
Customer trust,14,Lack of customer support,App is snappy. Interface is simple and straightforward. Most importantly interest is attractive. Keep it up! By the way please add 'Save payee' feature.
Customer trust,15,Unclear error messages,"""Oops something went wrong! ..."" (if only i can attach a screenshot)"
Customer trust,16,Limited attempts to use the app,They unable to process my application. 4x attempt
Customer trust,17,Limited attempts to use the app,"How many attempts for the year. Until now, message still the same. Itâ€™s not you, itâ€™s us. We understand that receiving this news may be disappointing. And while weâ€™re unable to disclose the specific reasons why your GXS FlexiLoan application wasnâ€™t approved, please know that every GXS FlexiLoan application goes through an evaluation process that must meet our eligibility criteria and internal assessment requirements."
Customer trust,18,Limited attempts to use the app,Attempt to try but it keep post something wrong.cannot go thru the apps.dont know why?3 times try even more but still can't get thru?
Customer trust,19,Difficulty registering and depositing,Crash upon login into a newly created account. Reinstall and still the same. I'm on Android 13 phone.
Customer trust,20,Confusing interface,Best get back to the drawing board. Design thinking  forget about the  many â€œdumbâ€ users out there including me.
Customer trust,21,Limited features,"A feature they should implement is to save your recipients which you FAST to, makes it a lot safer as it prevents mistaken sending of funds to unintended recipients after the 1st transfer."
Customer trust,22,Others,"Sleek, simple to use."
Customer trust,23,Others,Very convenient and easy to understand and use
Customer trust,24,Others,Great features! Love it!
Customer trust,25,Others,Invitation fr Singtel. Trying my luck first and it was a very fast approval on a Sunday. Love the fact that we can take any amount fr our credit limit.
Customer trust,26,Others,"Very easy to use, user friendly and intuitive. Nice design of the app making it easier to navigate the app. Saving pocket is an interesting and useful feature. canâ€™t wait to explore and use more of the app"
Customer trust,27,Others,"Love the interface and saving pocket is so unique, canâ€™t wait to meet my deposit goal!"
Customer trust,28,Others,"Love the modern design, user experience was great as well."
Customer trust,29,Others,"App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too."
Customer trust,30,Others,Super efficient ðŸ‘
Customer trust,31,Others,"Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted."
Customer trust,32,Others,"The appâ€™s interface is really user friendly and sleek! It loads very fast as well, canâ€™t wait to start using this digital bank app :)"
Customer trust,33,Others,Easy to register and deposit. Clean UI interface.
Customer trust,34,Others,"Personally donâ€™t like the theme, anyway allow user to change more brighter one?
Dark color me uncomfortable ðŸ˜ž"
Customer trust,35,Others,Pockets are unique and useful
Customer trust,36,Others,Smooth app with fast onboarding. Im unable to add fund to pocket with decimals due to numeric keypad.
Customer trust,37,Others,J got recommended to try out this app by a fren and i love it! Itâ€™s convenient and easy to use and i can see myself committing to this in the long term! :)
Customer trust,38,Others,"app is really easy to navigate, user-friendly"
Login & Account Setup,0,Difficulty logging in,"Unable to login or use the forgot password function. System only replied with ""something wrong please try again later"" Now I was told I must wait for the next version of app to be rolled out progressively before I can login. Hopefully won't take too long"
Login & Account Setup,1,Difficulty logging in,"Wasn't able to log in since 7 Sept. Called the CSO hotline on 9 Sept and was told to try resending the email OTP. Checked the email junk box and retried multiple times but didn't receive any emails. Was told that they had to check on the back end. When asked when I could receive a response, they mentioned 2 working days?? But this means I wouldn't be able to carry out any transactions for 5 whole days. Imagine if I had a critical transaction to carry out! I would have no access to my funds!!!!"
Login & Account Setup,2,Difficulty logging in,Can't login now. Makes me feel like being SCAMMED
Login & Account Setup,3,Difficulty logging in,The bank is not ready at all. I'm your ecosystem user. This is how you treat you ecosystem customer.
Login & Account Setup,4,Unable to set up account,Cannot set up my account in redmi 8T. Reach the email 2FA before I key in the numbers App closed
Login & Account Setup,5,Unable to set up account,"After signed up and asked for my info,straight away got rejected!"
Login & Account Setup,6,Poor customer support,Buggy app and bad customer support
Login & Account Setup,7,Poor customer support,"Disappointing app experience, awful faux friendly service. I was invited to join via Grab. After multiple painful attempts to sign up (and v lacklustre UI/UX), I was told that there's been an error, and finally received a vague email stating that I am ineligible, without offering any reason why. After multiple emails, customer service still failed to explain why I am not eligible, while signing off as my 'GXS buddy' everytime. I don't need a buddy from you. I just need you to do your job."
Login & Account Setup,8,Buggy app,Buggy app and bad customer support
Login & Account Setup,9,Buggy app,Cant launch. Stalled at invisible layer. Then receive crashed notification.
Login & Account Setup,10,Buggy app,"The screen cannot respond entirely.. After going through the screen login, the app completely doesn't respond touch. Very buggy."
Login & Account Setup,11,Issues with forgot password function,"Unable to login or use the forgot password function. System only replied with ""something wrong please try again later"" Now I was told I must wait for the next version of app to be rolled out progressively before I can login. Hopefully won't take too long"
Login & Account Setup,12,Frustration with error messages,DO NOT USE THIS APP!!!! So frustrating on this app. 3 times I tried to move a small portion of money out of my pocket. 3 times the pocket becomes $0 straight away and I canâ€™t move/transfer my money out!!!!!!!!!!!!!
Login & Account Setup,13,Frustration with error messages,"App keeps giving me â€œsomething went wrongâ€ and â€œitâ€™s not you, itâ€™s usâ€ notification whenever I attempt to log-in. Totally unusually at this time of writing."
Login & Account Setup,14,Frustration with error messages,Can GXS pls explain why the app keeps saying there is unexpected error and I cannot even open the app????
Login & Account Setup,15,Singpass registration issues,For 1st time registration signup by singpass and all info's needed but still my application is denied.
Login & Account Setup,16,Inability to use the app on certain devices,Cannot set up my account in redmi 8T. Reach the email 2FA before I key in the numbers App closed
Login & Account Setup,17,Inability to use the app on certain devices,"The screen cannot respond entirely.. After going through the screen login, the app completely doesn't respond touch. Very buggy."
Login & Account Setup,18,Delayed email responses,"Poor, get in touch with email late response after few weeks then replied. Not recommending ðŸ˜”"
Login & Account Setup,19,Lack of readiness for users,The bank is not ready at all. I'm your ecosystem user. This is how you treat you ecosystem customer.
Login & Account Setup,20,Others,"The app works great, simple yet effective enough to encourage savings via ""pockets"" so that users do not unknowingly overspent using the main account and that explain the lower interest as compared to funds kept inside the ""pockets"". Although its good to start small, i do hope the bank can increase the saving caps to encourage even more savings.Security wise while i think is on par with industry standard but there are still room to enhance it further as scammers are getting smarter everyday."
Login & Account Setup,21,Others,"Sending money into my GXS account is a breeze and instantaneous - regardless of the amounts. Iâ€™m able to immediately see that my funds are in GXS. 

Transferring money OUT is a huge issue. Since June Iâ€™ve had problems transferring amounts higher than $500 back to my other banking accounts, each time a red banner will pop up and said something went wrong please try again later. TODAY I canâ€™t transfer more than $1000 back to myself - even the $1000 had to be transferred in TWO transactions of $500 each. Customer service officers did their best to help each time but itâ€™s annoying that the advice provided (killing the app, re-logging in with SingPass) still donâ€™t work."
Login & Account Setup,22,Others,Nice app! Love the Saving pockets.
Login & Account Setup,23,Others,"Updated - Kindly ignore my previous rating, and I have amended my rating. My son did a Giro to link his Grab Account to GXS but neglected to inform us of the transaction."
Login & Account Setup,24,Others,"The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!"
Login & Account Setup,25,Others,Hi any chance for foreign to apply? Im work at sg
Login & Account Setup,26,Others,Easy to use and nice UIUX. Saving pockets is an interesting and useful feature
Login & Account Setup,27,Others,"Been using this bank for a while now and didn't face any major problems. What I enjoyed the most is the saving pockets area where we could create different pockets for each saving we want to do and even add goals into it. The 2.68% per annum is added daily (0.01) as long as you have a minimum of 150 in your savings. If not, you'll have to wait till your it accumulates up to 0.01 to be added. There was also cashback when you make payment using the card which I didn't know till recently."
Login & Account Setup,28,Others,Love the savings pockets and daily interest!
Login & Account Setup,29,Others,the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential ðŸ‘ðŸ¼
